,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
29,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.75,0.15,0.1,False,1,True,valid,-1.4139729,u,none,l1,0.0,20260810_212637_736513
141,k_clusters,global_smoothing,6654,0.34,1,0.7,0.25,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4139756,u,none,l2,0.0,20260810_231529_978558
96,k_clusters,global_smoothing,6654,0.26,1,0.3,0.65,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4141566,u,none,l2,0.0,20260810_223145_508623
25,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.85,0.25,0.3,False,1,True,valid,-1.4142165,u,none,l2,0.0,20260810_212252_080254
28,k_clusters,global_smoothing,6654,0.3,1,0.0,0.0,0.0,0.85,0.25,0.4,False,1,True,valid,-1.4143984,u,none,l2,0.0,20260810_212540_869226
2,k_clusters,global_smoothing,6654,0.22,1,0.65,0.7,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4144644,u,none,l2,0.0,20260810_210017_656859
190,k_clusters,global_smoothing,6654,0.28,1,0.45,0.35,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4145119,u,none,l2,0.0,20260811_000305_333159
43,k_clusters,global_smoothing,6654,0.34,1,0.3,0.55,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4147112,u,none,l2,0.0,20260810_214032_930853
183,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.65,0.15,0.45,False,1,True,valid,-1.4147196,u,none,l2,0.0,20260810_235625_509565
103,k_clusters,global_smoothing,6654,0.3,1,0.65,0.8,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4147867,u,none,l2,0.0,20260810_223835_630390
188,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.65,0.45,0.15,False,1,True,valid,-1.4149039,u,none,l1,0.0,20260811_000111_579786
77,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.75,0.75,0.3,False,1,True,valid,-1.4149195,u,none,l2,0.0,20260810_221311_122064
120,k_clusters,global_smoothing,6654,0.2,1,0.5,0.35,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4149228,u,none,l2,0.0,20260810_225505_527512
49,k_clusters,global_smoothing,6654,0.34,1,0.45,0.8,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4149604,u,none,l1,0.0,20260810_214604_628754
164,k_clusters,global_smoothing,6654,0.38,1,0.55,0.5,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4150188,u,none,l2,0.0,20260810_233753_545514
110,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.85,0.25,0.35,False,1,True,valid,-1.4150525,u,none,l2,0.0,20260810_224522_311401
142,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.85,0.75,0.2,False,1,True,valid,-1.4150536,u,none,l1,0.0,20260810_231629_000765
47,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.55,0.55,0.45,False,1,True,valid,-1.415054,u,none,l2,0.0,20260810_214415_144194
174,k_clusters,global_smoothing,6654,0.38,1,0.8,0.25,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4152226,u,none,l2,0.0,20260810_234741_580125
52,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.9,0.25,0.4,False,1,True,valid,-1.4152555,u,none,l2,0.0,20260810_214847_566926
146,k_clusters,global_smoothing,6654,0.34,1,0.3,0.8,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4152621,u,none,l2,0.0,20260810_232022_307605
153,k_clusters,global_smoothing,6654,0.26,1,0.2,0.9,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4152743,u,none,l1,0.0,20260810_232710_782243
16,k_clusters,global_smoothing,6654,0.3,1,0.45,0.35,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4152752,u,none,l2,0.0,20260810_211336_658049
129,k_clusters,global_smoothing,6654,0.28,1,0.7,0.7,0.6,0.0,0.0,0.0,True,1,True,valid,-1.415361,u,none,l2,0.0,20260810_230349_589036
179,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.95,0.5,0.4,False,1,True,valid,-1.4157276,u,none,l2,0.0,20260810_235234_824671
8,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.85,0.65,0.4,False,1,True,valid,-1.4157393,u,none,l2,0.0,20260810_210601_845238
132,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.9,0.25,0.15,False,1,True,valid,-1.4158262,u,none,l1,0.0,20260810_230644_454339
101,k_clusters,global_smoothing,6654,0.28,1,0.5,0.5,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4158326,u,none,l2,0.0,20260810_223638_669680
92,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.8,0.85,0.1,False,1,True,valid,-1.416006,u,none,l2,0.0,20260810_222752_927728
37,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.75,0.25,0.4,False,1,True,valid,-1.4160149,u,none,l2,0.0,20260810_213418_899403
22,k_clusters,global_smoothing,6654,0.24,1,0.6,0.25,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4160223,u,none,l2,0.0,20260810_212002_313183
50,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.85,0.85,0.15,False,1,True,valid,-1.4160409,u,none,l2,0.0,20260810_214658_530391
91,k_clusters,global_smoothing,6654,0.25,1,0.45,0.65,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4161592,u,none,l2,0.0,20260810_222654_995569
46,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.9,0.4,0.45,False,1,True,valid,-1.4162041,u,none,l2,0.0,20260810_214321_148462
78,k_clusters,global_smoothing,6654,0.45,1,0.65,0.55,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4162062,u,none,l2,0.0,20260810_221409_823421
198,k_clusters,global_smoothing,6654,0.38,1,0.65,0.25,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4163065,u,none,l1,0.0,20260811_001042_780193
154,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.85,0.25,0.45,False,1,True,valid,-1.416347,u,none,l2,0.0,20260810_232808_776389
12,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.85,0.75,0.4,False,1,True,valid,-1.4163617,u,none,l2,0.0,20260810_210949_326802
